segtype,startsec,endsec
SIL,1660.17,1660.97
TVN,1660.97,1663.04
TVF,1663.04,1664.38
TVN,1664.38,1671.32
FAN,1671.32,1673.31
TVN,1673.31,1674.31
FAN,1674.31,1675.97
CHNSP,1675.97,1676.74
OLN,1676.74,1677.54
TVN,1677.54,1678.54
TVN,1678.54,1680.09
TVN,1680.09,1687.30
FAN,1687.30,1688.32
SIL,1688.32,1690.04
TVN,1690.04,1691.05
FAN,1691.05,1693.19
SIL,1693.19,1694.26
CXN,1694.26,1695.84
TVN,1695.84,1696.84
TVF,1696.84,1697.84
TVF,1697.84,1699.30
FAN,1699.30,1700.82
SIL,1700.82,1701.76
FAN,1701.76,1703.09
TVN,1703.09,1706.51
TVN,1706.51,1708.05
SIL,1708.05,1709.06
TVN,1709.06,1710.13
TVN,1710.13,1713.39
TVN,1713.39,1714.43
SIL,1714.43,1718.75
TVN,1718.75,1719.84
TVN,1719.84,1721.84
TVN,1721.84,1723.39
TVN,1723.39,1725.03
FAN,1725.03,1727.02
TVN,1727.02,1728.02
FAN,1728.02,1729.18
TVN,1729.18,1736.89
FAN,1736.89,1739.83
TVN,1739.83,1740.57
FAN,1740.57,1741.90
FAN,1741.90,1742.51
FAN,1742.51,1744.39
FAN,1744.39,1745.42
SIL,1745.42,1746.45
FAN,1746.45,1747.85
SIL,1747.85,1749.23
TVF,1749.23,1751.01
TVN,1751.01,1753.95
FAN,1753.95,1756.57
SIL,1756.57,1757.83
FAN,1757.83,1758.83
TVN,1758.83,1764.05
TVF,1764.05,1764.85
TVF,1764.85,1765.85
FAN,1765.85,1768.44
TVF,1768.44,1771.85
FAN,1771.85,1772.86
TVN,1772.86,1775.29
NOF,1775.29,1776.19
SIL,1776.19,1776.99
FAN,1776.99,1779.05
NOF,1779.05,1780.32
OLN,1780.32,1781.14
FAF,1781.14,1781.94
SIL,1781.94,1782.74
SIL,1782.74,1785.61
FAN,1785.61,1786.21
SIL,1786.21,1787.74
OLN,1787.74,1788.54
NON,1788.54,1789.87
SIL,1789.87,1790.89
TVF,1790.89,1791.69
SIL,1791.69,1793.00
SIL,1793.00,1793.96
TVF,1793.96,1797.62
NON,1797.62,1799.50
SIL,1799.50,1800.50
SIL,1800.50,1801.30
TVN,1801.30,1802.46
FAN,1802.46,1803.06
SIL,1803.06,1804.50
FAN,1804.50,1805.50
TVF,1805.50,1806.50
MAF,1806.50,1807.69
TVF,1807.69,1808.77
MAN,1808.77,1809.77
CXN,1809.77,1810.95
CXF,1810.95,1811.82
FAN,1811.82,1812.83
CXN,1812.83,1813.78
OLN,1813.78,1814.59
CXN,1814.59,1815.40
TVF,1815.40,1816.73
FAN,1816.73,1817.75
SIL,1817.75,1818.55
FAN,1818.55,1819.93
SIL,1819.93,1820.80
MAN,1820.80,1821.90
SIL,1821.90,1822.70
FAN,1822.70,1823.83
CXN,1823.83,1825.01
FAN,1825.01,1826.85
TVF,1826.85,1827.85
TVF,1827.85,1828.70
SIL,1828.70,1830.27
FAN,1830.27,1832.00
SIL,1832.00,1833.61
TVN,1833.61,1835.65
SIL,1835.65,1836.71
TVF,1836.71,1837.31
SIL,1837.31,1839.34
TVN,1839.34,1840.34
TVN,1840.34,1842.39
TVN,1842.39,1843.56
TVN,1843.56,1846.08
TVN,1846.08,1849.70
SIL,1849.70,1851.03
TVN,1851.03,1852.03
SIL,1852.03,1853.76
TVF,1853.76,1854.98
TVN,1854.98,1857.02
TVF,1857.02,1857.86
FAN,1857.86,1859.43
TVN,1859.43,1863.04
TVN,1863.04,1863.64
SIL,1863.64,1865.56
NOF,1865.56,1867.22
SIL,1867.22,1868.02
TVF,1868.02,1870.18
CHF,1870.18,1870.78
NOF,1870.78,1871.66
TVF,1871.66,1872.66
TVN,1872.66,1874.02
SIL,1874.02,1875.03
TVN,1875.03,1876.07
TVN,1876.07,1877.07
TVF,1877.07,1878.44
SIL,1878.44,1879.45
TVF,1879.45,1880.25
TVN,1880.25,1884.22
TVF,1884.22,1885.53
SIL,1885.53,1887.64
MAF,1887.64,1888.57
TVN,1888.57,1892.12
TVF,1892.12,1893.16
TVF,1893.16,1894.39
TVF,1894.39,1895.54
SIL,1895.54,1896.50
TVF,1896.50,1897.10
SIL,1897.10,1900.16
FAN,1900.16,1901.16
FAN,1901.16,1901.83
FAN,1901.83,1902.95
SIL,1902.95,1903.75
TVN,1903.75,1907.69
SIL,1907.69,1908.63
TVF,1908.63,1910.72
TVF,1910.72,1913.16
FAN,1913.16,1913.88
FAN,1913.88,1915.97
MAN,1915.97,1916.97
TVF,1916.97,1917.93
TVN,1917.93,1919.22
TVF,1919.22,1922.77
SIL,1922.77,1923.77
TVF,1923.77,1925.66
FAN,1925.66,1926.84
TVF,1926.84,1928.82
SIL,1928.82,1930.24
TVF,1930.24,1931.67
SIL,1931.67,1932.88
FAF,1932.88,1934.23
SIL,1934.23,1935.03
TVN,1935.03,1936.11
TVF,1936.11,1937.12
SIL,1937.12,1938.00
SIL,1938.00,1941.80
SIL,1941.80,1942.60
FAF,1942.60,1943.65
SIL,1943.65,1944.62
SIL,1944.62,1947.93
SIL,1947.93,1948.73
SIL,1948.73,1951.62
FAN,1951.62,1952.84
FAN,1952.84,1953.84
NOF,1953.84,1954.64
CHNNSP,1954.64,1955.32
FAN,1955.32,1956.38
OLN,1956.38,1957.48
CHNNSP,1957.48,1958.55
MAN,1958.55,1959.57
NOF,1959.57,1960.37
CHNNSP,1960.37,1961.62
OLN,1961.62,1962.50
TVN,1962.50,1963.63
TVF,1963.63,1964.23
SIL,1964.23,1966.76
SIL,1966.76,1967.57
TVN,1967.57,1970.86
SIL,1970.86,1971.66
SIL,1971.66,1972.83
FAN,1972.83,1974.44
TVF,1974.44,1975.24
FAN,1975.24,1976.57
NOF,1976.57,1981.27
SIL,1981.27,1982.90
SIL,1982.90,1984.35
NOF,1984.35,1985.15
CHNNSP,1985.15,1985.90
CHNNSP,1985.90,1986.72
CXN,1986.72,1987.32
CXN,1987.32,1989.65
SIL,1989.65,1990.46
TVF,1990.46,1991.26
TVF,1991.26,1992.29
SIL,1992.29,1993.11
SIL,1993.11,1998.93
TVF,1998.93,1999.73
SIL,1999.73,2000.89
SIL,2000.89,2002.45
TVN,2002.45,2006.64
SIL,2006.64,2007.44
SIL,2007.44,2008.46
NOF,2008.46,2020.63
CXN,2020.63,2021.43
TVN,2021.43,2025.30
TVF,2025.30,2026.94
TVN,2026.94,2027.94
TVN,2027.94,2028.74
TVN,2028.74,2031.93
CHF,2031.93,2032.55
TVN,2032.55,2035.03
TVF,2035.03,2035.63
SIL,2035.63,2038.68
CHF,2038.68,2039.28
TVN,2039.28,2049.35
SIL,2049.35,2050.15
TVN,2050.15,2060.87
TVN,2060.87,2061.47
SIL,2061.47,2062.68
TVN,2062.68,2063.91
SIL,2063.91,2064.92
CXN,2064.92,2066.53
TVN,2066.53,2067.56
CXN,2067.56,2069.01
SIL,2069.01,2070.64
CXN,2070.64,2072.26
TVF,2072.26,2073.40
NOF,2073.40,2074.36
TVF,2074.36,2075.48
NOF,2075.48,2076.29
SIL,2076.29,2078.24
SIL,2078.24,2079.04
SIL,2079.04,2081.23
CXN,2081.23,2082.56
TVN,2082.56,2085.05
FAF,2085.05,2086.05
TVF,2086.05,2087.02
TVN,2087.02,2091.23
TVF,2091.23,2091.83
SIL,2091.83,2092.83
TVF,2092.83,2093.50
TVN,2093.50,2096.17
CXN,2096.17,2096.97
SIL,2096.97,2099.17
CXN,2099.17,2099.97
FAF,2099.97,2100.97
TVN,2100.97,2105.02
CXN,2105.02,2106.53
NOF,2106.53,2107.47
CHNNSP,2107.47,2108.95
CXN,2108.95,2110.15
TVF,2110.15,2111.23
CXN,2111.23,2112.03
TVN,2112.03,2113.09
CXN,2113.09,2113.90
TVN,2113.90,2122.54
CXN,2122.54,2123.34
TVN,2123.34,2125.00
TVN,2125.00,2126.38
SIL,2126.38,2127.54
TVF,2127.54,2128.66
CXN,2128.66,2129.75
SIL,2129.75,2130.55
CXN,2130.55,2131.56
TVF,2131.56,2132.56
NOF,2132.56,2133.94
CXN,2133.94,2135.59
TVF,2135.59,2136.71
CXN,2136.71,2138.26
FAF,2138.26,2139.27
SIL,2139.27,2141.66
TVF,2141.66,2142.48
NOF,2142.48,2143.33
SIL,2143.33,2144.80
TVF,2144.80,2145.60
TVN,2145.60,2146.40
TVF,2146.40,2147.20
TVN,2147.20,2149.65
SIL,2149.65,2150.54
SIL,2150.54,2151.54
CXN,2151.54,2152.34
TVN,2152.34,2156.59
SIL,2156.59,2157.51
NOF,2157.51,2159.66
CXN,2159.66,2161.92
NOF,2161.92,2163.39
OLN,2163.39,2164.22
TVF,2164.22,2165.22
CXN,2165.22,2166.03
CXN,2166.03,2167.04
TVN,2167.04,2168.15
OLN,2168.15,2168.77
CXN,2168.77,2170.44
TVN,2170.44,2174.77
SIL,2174.77,2175.58
TVN,2175.58,2177.04
TVN,2177.04,2178.39
TVN,2178.39,2182.15
OLF,2182.15,2182.95
TVN,2182.95,2183.95
SIL,2183.95,2184.77
NOF,2184.77,2185.59
TVN,2185.59,2186.66
MAF,2186.66,2187.67
SIL,2187.67,2188.67
FAF,2188.67,2189.47
TVN,2189.47,2190.47
OLF,2190.47,2191.34
TVF,2191.34,2192.42
CXN,2192.42,2193.48
TVN,2193.48,2194.48
CXN,2194.48,2195.66
TVF,2195.66,2199.00
CXN,2199.00,2200.40
SIL,2200.40,2206.35
TVN,2206.35,2207.29
NOF,2207.29,2208.30
OLF,2208.30,2209.73
CHNSP,2209.73,2210.41
SIL,2210.41,2215.22
TVN,2215.22,2215.82
TVN,2215.82,2219.38
TVF,2219.38,2220.18
TVN,2220.18,2221.18
TVN,2221.18,2222.18
SIL,2222.18,2224.15
TVN,2224.15,2225.08
TVN,2225.08,2231.26
TVN,2231.26,2232.06
SIL,2232.06,2234.10
TVF,2234.10,2234.70
TVN,2234.70,2239.72
TVF,2239.72,2240.93
CHNSP,2240.93,2241.54
TVF,2241.54,2243.34
SIL,2243.34,2244.65
TVF,2244.65,2246.39
CXN,2246.39,2247.19
TVN,2247.19,2249.57
TVF,2249.57,2250.37
TVF,2250.37,2251.42
TVF,2251.42,2252.02
SIL,2252.02,2253.89
SIL,2253.89,2254.69
TVF,2254.69,2255.69
CXN,2255.69,2256.49
TVF,2256.49,2257.49
TVF,2257.49,2258.72
TVF,2258.72,2260.05
SIL,2260.05,2261.23
SIL,2261.23,2262.03
TVF,2262.03,2262.83
CXN,2262.83,2263.43
TVF,2263.43,2264.23
FAN,2264.23,2265.03
SIL,2265.03,2265.97
TVF,2265.97,2266.78
SIL,2266.78,2268.49
CXN,2268.49,2269.12
CXN,2269.12,2269.95
TVN,2269.95,2271.00
CHNSP,2271.00,2271.69
CXN,2271.69,2272.62
TVN,2272.62,2273.95
TVF,2273.95,2274.77
CXN,2274.77,2275.57
TVN,2275.57,2276.59
CXN,2276.59,2277.59
CXN,2277.59,2279.02
SIL,2279.02,2280.92
TVN,2280.92,2282.28
TVN,2282.28,2285.89
TVN,2285.89,2286.81
TVN,2286.81,2288.89
OLN,2288.89,2289.73
TVN,2289.73,2290.73
OLN,2290.73,2291.38
TVN,2291.38,2292.38
TVF,2292.38,2293.18
TVN,2293.18,2295.12
TVN,2295.12,2296.13
TVF,2296.13,2297.72
TVF,2297.72,2298.52
SIL,2298.52,2299.38
CXF,2299.38,2300.18
SIL,2300.18,2301.00
OLF,2301.00,2302.51
SIL,2302.51,2303.50
SIL,2303.50,2304.51
SIL,2304.51,2306.66
CXN,2306.66,2308.00
SIL,2308.00,2311.82
TVF,2311.82,2312.83
TVF,2312.83,2313.63
SIL,2313.63,2320.30
SIL,2320.30,2322.40
TVF,2322.40,2324.21
